560: {{26157,3079},{1129,-9682},{-254,1408},{605,-18214},{2356,39672},{-13279,30584},{-16766,-47170}}
580: {{26,-13},{-103,12},{29,-113},{-70,62},{107,57},{14,-6},{-22,4}}
596
614
616
624
626
632
636
638: {{-69,-31},{42,13},{-96,21},{92,101},{39,17},{-39,-14},{18,-111}}
640
642: {{-68,-196},{3,-311},{-213,294},{-103,-224},{33,89},{322,255},{44,141}}
644: {{124,256},{32,15},{134,52},{154,-212},{-187,44},{-62,-29},{-219,-140}}
646: {{1,-13},{19,-75},{-14,47},{28,58},{-1,8},{50,-78},{-81,47}}
648: {{9,20},{11,-90},{-24,-48},{105,82},{6,29},{-83,63},{-19,-45}}
650
652: {{29,72},{-205,-230},{59,167},{-399,378},{6,-65},{103,-401},{409,64}}
654
656: {{72,63},{-34,71},{39,-95},{75,-118},{-144,117},{29,-124},{-30,67}}
658: {{-49,247},{441,246},{-442,449},{-116,-399},{51,-337},{90,-406},{0,289}}
660: {{63,7},{16,-2},{-42,-37},{23,0},{-37,4},{54,-25},{-66,52}}
662: {{184,-30},{-292,42},{151,-33},{-393,27},{388,137},{-353,170},{372,-324}}
664: {{-309,-330},{-17,202},{9,87},{92,317},{0,-65},{-18,216},{252,-380}}
668: {{3,28},{116,42},{20,-122},{1,38},{-97,109},{-5,-34},{-39,-57}}
670
672: {{22,-1},{74,51},{31,-108},{-52,20},{-109,47},{65,-7},{-24,0}}
674: {{6,4},{10,-5},{13,0},{-39,40},{29,-14},{-3,-32},{-13,6}}
676: {{-72,-175},{26,130},{0,-188},{28,131},{-127,130},{165,147},{-13,-168}}
678: {{6,10},{-7,-16},{17,-27},{1,27},{-26,-28},{5,29},{5,9}}
680: {{66,-111},{91,10},{-84,-27},{-62,-15},{30,8},{62,67},{-97,70}}
682: {{186,-127},{429,85},{-239,43},{-309,119},{-487,359},{216,-430},{92,-28}}
684: {{-466,-418},{-175,532},{97,-673},{-916,745},{939,652},{69,56},{466,-884}}
686: {{51,-59},{-40,11},{-37,18},{44,64},{-54,-34},{16,-1},{22,1}}
688: {{108,26},{65,-29},{92,13},{-135,-121},{-80,29},{-93,99},{75,-29}}
690: {{-63,-55},{65,54},{23,20},{108,64},{152,146},{-118,-99},{-182,-142}}
692: {{13,0},{21,-39},{9,3},{-42,-23},{39,38},{-2,3},{-38,19}}
694: {{5,36},{1,115},{124,-88},{-17,53},{-77,-106},{-45,71},{8,-75}}
696: {{840,226},{126,48},{402,478},{-502,-204},{-814,109},{-782,175},{739,-829}}
698: {{8,-48},{-49,-3},{4,10},{39,47},{17,31},{7,7},{-23,-39}}
700: {{43,-15},{-62,46},{-71,-26},{59,104},{-64,9},{58,-113},{28,1}}
702: {{10,7},{-43,3},{-50,-9},{32,59},{14,12},{63,-44},{-33,-29}}
704: {{-63,7},{-28,-16},{16,32},{10,63},{-24,-38},{33,17},{54,-67}}
706: {{1849,5480},{4195,-6012},{588,1733},{-377,-1942},{-4472,-6049},{-2041,5459},{316,1946}}
708: {{14,43},{100,28},{-65,-100},{-70,91},{0,-75},{-33,-75},{60,98}}
710: {{27,-50},{130,132},{1,25},{-30,-127},{-133,60},{-2,-105},{7,38}}
712: {{-76,-63},{-49,-105},{61,38},{47,88},{152,-183},{45,193},{-179,33}}
714: {{11,-183},{150,178},{38,-206},{-29,-125},{-194,164},{8,42},{20,89}}
716: {{-96,30},{-75,57},{21,-132},{25,7},{-120,-63},{124,134},{136,-26}}
718: {{27,1},{16,71},{100,20},{-72,-12},{-92,6},{-69,-22},{94,-66}}
720: {{1,20},{3,-22},{-14,-39},{-33,10},{9,13},{-2,-23},{39,45}}
722: {{-24,-2},{12,-29},{41,32},{17,0},{-36,6},{22,8},{-29,-14}}
724: {{54,39},{267,-140},{-96,-134},{-163,-45},{-231,0},{7,243},{135,33}}
726: {{-277,109},{-260,67},{227,-74},{-380,39},{305,-287},{211,-43},{243,175}}
728: {{6,50},{-34,34},{-16,-40},{-23,-52},{61,17},{0,8},{1,-29}}
730: {{40,18},{81,-28},{43,15},{-65,97},{-70,-107},{44,28},{-61,-16}}
732: {{82,-13},{-171,8},{97,-52},{116,117},{78,-148},{-126,29},{-92,60}}
734: {{29,-9},{-108,39},{75,-87},{-105,73},{-30,14},{60,13},{65,-37}}
736: {{25,25},{22,90},{-31,-6},{-76,-77},{-82,-66},{82,5},{55,25}}
738: {{48,-42},{18,-55},{-15,51},{6,11},{6,36},{-43,-21},{-20,22}}
740: {{30,-395},{-94,113},{-463,135},{25,-188},{335,-189},{-210,233},{371,293}}
742: {{17,57},{-70,7},{71,85},{0,32},{-28,-86},{15,-48},{-4,-61}}
744: {{-122,-72},{23,28},{72,118},{61,60},{5,35},{24,-88},{-60,-78}}
746: {{35,108},{7,-74},{8,35},{94,-98},{-99,-106},{-7,54},{-37,98}}
748: {{-1,-95},{0,51},{29,82},{-99,69},{43,-112},{32,3},{-3,5}}
750: {{-26,57},{-270,-258},{285,71},{173,-303},{33,194},{30,-124},{-204,309}}
752: {{-254,-182},{139,19},{-199,89},{219,158},{200,9},{-249,-207},{160,121}}
754: {{1083,-759},{499,1146},{46,-645},{-54,360},{514,-1045},{-690,926},{-1435,140}}
756: {{-31,-46},{22,39},{-33,-76},{12,6},{87,-39},{12,92},{-72,24}}
758: {{108,75},{40,-133},{158,32},{21,-152},{-160,145},{-160,161},{-1,-168}}
760: {{-43,57},{39,-44},{-57,49},{26,-63},{-21,-50},{56,43},{0,1}}
762: {{-237,-168},{-236,-418},{116,40},{-332,133},{404,61},{130,125},{160,228}}
764: {{-63,-16},{-68,45},{23,17},{12,0},{59,-16},{83,26},{-36,-55}}
766: {{36,-46},{5,61},{37,44},{29,39},{-59,-31},{-6,0},{-32,-54}}
768: {{17,-25},{8,1},{-8,30},{-1,0},{15,29},{2,-10},{-31,-26}}
770: {{0,6},{22,28},{16,-21},{-14,-32},{7,27},{-26,18},{-4,-24}}
772: {{172,63},{86,39},{220,40},{-210,49},{-105,-46},{-131,-152},{44,36}}
774: {{-35,-50},{29,-24},{38,4},{-28,56},{-41,26},{24,-24},{27,1}}
776: {{-21,61},{18,43},{-5,70},{71,-102},{-78,-88},{18,56},{0,-31}}
778: {{2,-24},{14,15},{-2,-19},{-17,12},{10,-18},{-21,9},{14,20}}
780: {{-50,-38},{41,29},{0,-46},{-29,42},{10,17},{-5,-8},{36,5}}
782: {{21,44},{45,-14},{-18,15},{11,24},{-12,-42},{-45,-31},{0,12}}
784: {{64,-88},{63,62},{-78,-75},{97,65},{26,0},{-96,41},{-73,-3}}
786: {{1129,433},{242,1033},{1314,-1199},{-1773,-803},{-1407,-310},{1449,296},{-1122,513}}
788: {{39,21},{12,6},{46,-19},{7,-1},{-5,53},{-53,-63},{-44,3}}
790: {{81,191},{-87,40},{-150,-79},{-192,171},{137,-196},{139,-122},{48,8}}
792: {{8,37},{-26,0},{45,30},{-21,-62},{-16,27},{5,-31},{9,-9}}
794: {{18,0},{-54,-19},{37,-2},{-52,23},{14,-37},{-14,2},{47,34}}
796: {{-21,11},{26,-21},{-4,-12},{1,18},{10,-3},{13,1},{-24,6}}
798: {{67,145},{-138,59},{-112,-37},{61,127},{-76,-146},{139,-135},{61,0}}
800: {{28,-107},{-115,38},{-2,0},{42,34},{57,45},{-33,-65},{24,57}}
802: {{22,-39},{13,21},{-9,25},{-39,40},{35,16},{-25,-28},{1,-31}}
804: {{18,-28},{-6,-23},{13,1},{9,19},{-16,-3},{11,20},{-27,14}}
806: {{-44,-1},{-36,1},{42,28},{36,21},{21,-47},{-42,22},{13,-23}}
808: {{21,18},{-7,-21},{13,-7},{-24,7},{24,5},{0,22},{-25,-23}}
810: {{6,8},{-5,-5},{1,-8},{4,-10},{-9,12},{-7,2},{10,0}}
812: {{-21,3},{18,8},{6,26},{-16,-10},{29,18},{25,-36},{-40,-7}}
814: {{22,39},{-3,17},{-56,4},{47,44},{18,-38},{-23,-41},{0,-37}}
816: {{-16,16},{14,10},{10,-4},{-22,4},{-14,-22},{8,-19},{21,13}}
818: {{30,-8},{2,14},{-29,22},{9,6},{23,3},{-5,-21},{-25,-14}}
820: {{35,-33},{63,10},{27,35},{-14,-69},{-41,38},{2,40},{-66,-20}}
822: {{3,25},{6,-33},{-36,-38},{11,-35},{52,6},{-32,46},{-5,40}}
824: {{9,10},{-28,-3},{19,-28},{21,12},{2,20},{-19,-25},{-5,20}}
826: {{-13,4},{13,-8},{-2,10},{2,-11},{5,10},{-9,-4},{4,1}}
828: {{22,9},{-9,-23},{7,-23},{-24,2},{19,-3},{-31,17},{19,22}}
830: {{18,-31},{-1,-16},{-25,7},{8,3},{14,-1},{23,28},{-30,10}}
832: {{44,18},{22,28},{15,-47},{-56,12},{11,26},{8,-61},{-40,29}}
834: {{48,2},{39,6},{-43,-42},{3,45},{32,15},{-11,-39},{-55,14}}
836: {{-18,16},{28,-11},{1,12},{-7,12},{9,18},{-25,-18},{10,-24}}
838: {{6,0},{9,9},{15,-3},{-18,-16},{9,6},{-9,20},{-10,-15}}
840: {{31,-31},{-26,-7},{15,8},{-15,-19},{-23,13},{5,24},{14,16}}
842: {{20,12},{28,4},{-28,1},{-19,16},{-8,-26},{4,-5},{8,-3}}
844: {{-7,-15},{5,6},{8,3},{1,14},{12,-5},{-11,-10},{-5,10}}
846: {{-25,33},{30,24},{-14,9},{-32,2},{12,-34},{18,-32},{10,-4}}
848: {{-30,9},{17,-17},{17,23},{7,-21},{13,-16},{4,4},{-24,11}}
850: {{-20,30},{19,24},{1,-30},{9,9},{-31,-19},{8,-23},{20,16}}
852: {{-19,-10},{11,13},{12,14},{-5,15},{16,-21},{-18,11},{3,-18}}
854: {{7,21},{-24,26},{-18,-13},{19,17},{31,4},{0,-26},{-9,-23}}
856: {{16,1},{29,-21},{-1,14},{3,24},{2,-8},{-29,9},{-19,-18}}
858: {{4,10},{-15,-13},{-14,4},{2,-8},{3,-13},{6,7},{15,15}}
860: {{12,15},{28,12},{1,22},{-22,-4},{-20,-31},{15,2},{-8,-9}}
862: {{3,25},{2,1},{-9,5},{11,0},{-7,-7},{-22,-9},{25,-16}}
864: {{-25,-23},{-12,0},{18,30},{12,-2},{-21,2},{13,-11},{11,3}}
866: {{-15,0},{15,-1},{11,7},{3,-8},{-5,-16},{-14,8},{8,14}}
868: {{-11,-14},{2,12},{15,2},{13,5},{5,10},{-9,6},{-13,-15}}
